itemtype,rating
Adventure,3.418267179
Animation,3.423469388
Button,3.497821782
Color,3.374163664
Contact,3.424651568
Content,3.405882353
Document,3.362526316
Form,3.452422145
Header,3.320353063
Home,3.426834053
Layout,3.444741533
Link,3.377383016
Menu,3.440904894
Photo,3.429577465
Question,3.3858337
Report,3.384898711
Search,3.44835966
Space,3.474868358
unknown,3.416541353
